Lon,Lat,Distance,Radiance,CummulativeRadiance
-2.261456272000000922e+01,6.398161213000000203e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.395305555999999569e+01,6.555583332999998447e+01,1.861778879117004806e+02,1.579327230958945923e-03,1.579327230958945923e-03
-2.500000000000000000e+01,6.600000000000000000e+01,2.548820555959056833e+02,1.579331205014068013e-03,3.158658435973013719e-03
-3.000000000000000000e+01,6.800000000000000000e+01,5.655893715016666192e+02,1.579348660777679485e-03,4.738007096750693203e-03
-3.500000000000000000e+01,7.000000000000000000e+01,8.639970860941534738e+02,1.579365264259597387e-03,6.317372361010291024e-03
-4.000000000000000000e+01,7.100000000000000000e+01,1.080251585161078310e+03,1.579373191926993197e-03,7.896745552937284654e-03
-4.500000000000000000e+01,7.200000000000000000e+01,1.288689123857357572e+03,1.579380842614061444e-03,9.476126395551346532e-03
-5.000000000000000000e+01,7.300000000000000000e+01,1.489379843380149623e+03,1.579388196617240213e-03,1.105551459216858740e-02
-5.614601899999999546e+01,7.279261099999999374e+01,1.691598241446517250e+03,1.579386696801027149e-03,1.263490128896961433e-02
-5.858333300000001032e+01,7.373333300000001600e+01,1.822088673205259738e+03,1.579393390039893945e-03,1.421429467900950892e-02
-6.823921900000000562e+01,7.654241899999999532e+01,2.237515198367625999e+03,1.579411588854242026e-03,1.579370626786374965e-02
-7.583333299999999610e+01,7.634999999999999432e+01,2.436425461389279008e+03,1.579410432699094495e-03,1.737311670056284479e-02
-8.000000000000000000e+01,7.600000000000000000e+01,2.553748363647232509e+03,1.579408294470247475e-03,1.895252499503309249e-02
-8.500000000000000000e+01,7.600000000000000000e+01,2.688210372524518334e+03,1.579408294470247475e-03,2.053193328950334018e-02
-9.000000000000000000e+01,7.600000000000000000e+01,2.822672381401804159e+03,1.579408294470247475e-03,2.211134158397358787e-02
-9.500000000000000000e+01,7.600000000000000000e+01,2.957134390279089985e+03,1.579408294470247475e-03,2.369074987844383556e-02
-1.000000000000000000e+02,7.600000000000000000e+01,3.091596399156375810e+03,1.579408294470247475e-03,2.527015817291408326e-02
-1.050000000000000000e+02,7.600000000000000000e+01,3.226058408033661635e+03,1.579408294470247475e-03,2.684956646738433095e-02
-1.100000000000000000e+02,7.500000000000000000e+01,3.404126368132516291e+03,1.579401940045988993e-03,2.842896840743032102e-02
-1.150000000000000000e+02,7.400000000000000000e+01,3.589610029482138088e+03,1.579395235082559469e-03,3.000836364251287941e-02
-1.200000000000000000e+02,7.300000000000000000e+01,3.782642503430876786e+03,1.579388196617240213e-03,3.158775183913011680e-02
-1.250000000000000000e+02,7.200000000000000000e+01,3.983333222953668610e+03,1.579380842614061444e-03,3.316713268174417695e-02
-1.253143611099999930e+02,7.199144444000000931e+01,3.994179282207298911e+03,1.579380778388937527e-03,3.474651346013311187e-02
-1.330172220000000038e+02,6.943444399999998495e+01,4.394719887425248089e+03,1.579360665832102049e-03,3.632587412596521154e-02
-1.335927777800000058e+02,6.832611110999999937e+01,4.520098362134037416e+03,1.579351430930305651e-03,3.790522555689551654e-02
-1.398463888899999858e+02,6.757111111000000392e+01,4.794192124192823940e+03,1.579344983171386638e-03,3.948457054006690448e-02
-1.452127499999999998e+02,6.658002777999999466e+01,5.051312133933341102e+03,1.579336344598817991e-03,4.106390688466571987e-02
-1.452766694400000063e+02,6.657426666999998588e+01,5.054209183091132218e+03,1.579336293841899792e-03,4.264324317850762269e-02
-1.455981360000000109e+02,6.638045299999998861e+01,5.080054430711977147e+03,1.579334582822243104e-03,4.422257776132986623e-02
-1.458473669999999913e+02,6.622774200000000633e+01,5.100361703846503588e+03,1.579333229989574516e-03,4.580191099131943749e-02
-1.461823719999999867e+02,6.601884699999999384e+01,5.128054397104636337e+03,1.579331372926207717e-03,4.738124236424564456e-02
-1.473967829999999992e+02,6.522509400000001278e+01,5.232437329376296475e+03,1.579324251534424805e-03,4.896056661578006980e-02
-1.480119722199999899e+02,6.480008333000000675e+01,5.287829842790650218e+03,1.579320399054837728e-03,5.053988701483490970e-02
-1.482549669999999935e+02,6.443774400000000924e+01,5.329751648784580539e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.485082360000000108e+02,6.404934400000001915e+01,5.374640065181613863e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.489882110000000068e+02,6.328089399999998932e+01,5.463306686815014473e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.495792079999999942e+02,6.227188300000000254e+01,5.579460141125222435e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.499671444399999984e+02,6.156945555999999442e+01,5.660162095423589562e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.502065560000000062e+02,6.115081000000000699e+01,5.708430336482057101e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.503855900000000076e+02,6.105534199999999601e+01,5.722756395024498488e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.509475469999999859e+02,6.072809999999998354e+01,5.770169809330432145e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.511952499999999873e+02,6.061469443999999385e+01,5.788636725067272891e+03,0.000000000000000000e+00,5.053988701483490970e-02
-1.524609670000000108e+02,6.022300799999999299e+01,5.870635053952928502e+03,0.000000000000000000e+00,5.053988701483490970e-02
